season,week,n_participants,eliminated_name,judge_std,judge_mean,actual_rule,estimated_fan_votes,percentage_eliminated,rank_eliminated,same_result,actual_eliminated,pct_matches_actual,rank_matches_actual,pct_scores,rank_scores
5,9,4,Jennie Garth,0.27638539919628313,9.75,percentage,[0.06180281 0.28442955 0.32035049 0.33341715],0,0,True,0,True,True,[0.30966605 0.54083981 0.57676074 0.57273339],[7 4 3 5]
6,3,10,Steve Guttenberg,0.8273115763993905,7.6,percentage,"[0.07354156 0.01088305 0.10532319 0.09942332 0.14723535 0.13623682
 0.1054785  0.13892114 0.08026367 0.1026934 ]",1,1,True,1,True,True,"[0.18319068 0.10298831 0.21935828 0.19152859 0.25249851 0.21957016
 0.20635569 0.25734219 0.17236893 0.19479867]",[12 16  7 13  5 13  9  3 14 12]
6,4,9,Adam Carolla,1.0540925533894596,8.333333333333334,percentage,"[0.12036513 0.17201591 0.11995638 0.13221584 0.15566788 0.08368638
 0.08962523 0.02246124 0.104006  ]",7,7,True,7,True,True,"[0.23592068 0.26979369 0.22662305 0.25666029 0.26233455 0.21257526
 0.21851412 0.10690569 0.21067267]",[ 8  9 10  6  7  9  8 18 11]
6,5,8,Priscilla Presley,0.8819171036881968,8.166666666666666,percentage,"[0.16281623 0.02217863 0.11551371 0.12684959 0.13730902 0.15357587
 0.12322358 0.15853336]",1,1,True,1,True,True,"[0.28016317 0.12932149 0.22775861 0.24419653 0.259758   0.29133097
 0.27118277 0.29628847]",[ 6 16 14 10  8  5  7  4]
6,6,7,Marlee Matlin,0.920908552657796,8.571428571428571,percentage,"[0.16123954 0.02770223 0.13618792 0.19095493 0.18813237 0.17116907
 0.12461394]",1,1,True,1,True,True,"[0.31123954 0.1443689  0.26952126 0.33539937 0.3214657  0.33783573
 0.28016949]",[ 7 14 10  5  7  4  8]
6,7,6,Shannon Elizabeth,0.47871355387816883,8.583333333333334,percentage,[0.20566106 0.02996153 0.19880411 0.15975011 0.19918151 0.20664168],1,1,True,1,True,True,[0.35452838 0.19501007 0.3670889  0.33774364 0.37393879 0.37169022],[ 8 10  7  6  5  5]
6,8,5,Mario,0.40276819911981887,8.9,percentage,[0.20929512 0.23834656 0.30494412 0.20653178 0.04088242],4,4,True,4,True,True,[0.42277827 0.42561248 0.49970068 0.41252429 0.23938429],[4 7 5 6 8]
6,9,4,Marissa Jaret Winokur,0.3118047822311621,9.166666666666666,percentage,[0.32002881 0.06476873 0.32930247 0.2859    ],1,1,True,1,True,True,[0.57457426 0.30113236 0.57930247 0.54499091],[4 8 4 4]
7,2,11,Kim Kardashian,0.9791208740244554,6.696969696969696,percentage,"[0.10260983 0.07148439 0.07517643 0.09066661 0.10675723 0.16136643
 0.06799924 0.09481214 0.01307451 0.0854112  0.130642  ]",8,8,True,8,True,True,"[0.17048313 0.16650701 0.17019905 0.18568923 0.19273008 0.26996372
 0.17207164 0.18530988 0.08999758 0.15780939 0.23923928]",[15 13 12 10 11  2 13 12 20 17  3]
7,4,9,Rocco DiSpirito,0.818174890162019,7.518518518518519,percentage,"[0.14591242 0.10470619 0.09683823 0.13243147 0.0907111  0.12827509
 0.16118577 0.02183021 0.11810953]",7,7,True,7,True,True,"[0.2542868  0.22293279 0.21013873 0.23095364 0.19908548 0.23664948
 0.28926459 0.11050016 0.24618834]",[ 7  9 11 11 13  9  2 18  6]
7,5,8,Toni Braxton,1.0265570828962434,8.125,percentage,"[0.13555586 0.15460602 0.1366578  0.13112867 0.1485245  0.02118666
 0.1448199  0.12752058]",5,5,True,5,True,True,"[0.24324816 0.26742653 0.28024755 0.26959021 0.27672963 0.13400718
 0.25251221 0.27623853]",[12  6  6  9  6 13 10  8]
7,6,7,Cloris Leachman,1.2399253872658607,7.6190476190476195,percentage,"[0.03840026 0.16215636 0.13737254 0.19386086 0.16792847 0.1406715
 0.15961001]",0,0,True,0,True,True,"[0.13215026 0.30590636 0.28112254 0.32511086 0.32417847 0.3094215
 0.32211001]",[14  7 10  7  5  6  6]
7,7,6,Susan Lucci,0.9574271077563382,8.166666666666666,percentage,[0.0307934  0.20378701 0.17073309 0.22666187 0.19206945 0.17595519],0,0,True,0,True,True,[0.1940587  0.35344687 0.34080111 0.36951901 0.36213748 0.38003682],[10  7  7  7  5  5]
7,8,5,Maurice Greene,0.494413232473044,8.5,percentage,[0.26981086 0.04365604 0.20579378 0.24889564 0.23184368],1,1,True,1,True,True,[0.45804615 0.23189133 0.41755849 0.44497407 0.44752996],[5 9 6 5 4]
7,9,4,Cody Linley,0.6808389432653413,8.375,percentage,[0.06917603 0.30329436 0.30474863 0.32278098],0,0,True,0,True,True,[0.29803175 0.54707546 0.58833072 0.56656207],[8 5 3 3]
8,2,13,Belinda Carlisle,1.2092129356463175,6.794871794871796,percentage,"[0.06839929 0.06396011 0.0837947  0.07401497 0.05135576 0.08805456
 0.07879591 0.01026951 0.0913191  0.085736   0.07147546 0.16721535
 0.06560928]",7,7,True,7,True,True,"[0.17028608 0.14320539 0.14794564 0.14948667 0.12682746 0.1786206
 0.14294685 0.07819404 0.1667908  0.17252845 0.12430565 0.23513988
 0.16372249]",[10 16 16 13 18  6 17 22  8  8 21 10 12]
8,3,12,Denise Richards,1.7734321888347075,7.055555555555556,percentage,"[0.07202525 0.01384499 0.07698537 0.12432678 0.06371561 0.0832048
 0.1733995  0.0733063  0.09699274 0.07339805 0.07555923 0.07324138]",1,1,True,1,True,True,"[0.17832446 0.07683712 0.17147356 0.20306694 0.15426679 0.18950401
 0.21276958 0.16385748 0.19541794 0.13245317 0.14248836 0.17954059]",[11 22 10 10 17  5 13 14  7 18 15 10]
8,5,9,David Alan Grier,1.0886621079036343,7.777777777777778,percentage,"[0.09379308 0.01634245 0.14557587 0.17321682 0.11241668 0.11898818
 0.08839365 0.1521827  0.09909057]",1,1,True,1,True,True,"[0.23188832 0.12110436 0.24081397 0.27321682 0.2362262  0.22851199
 0.21220317 0.23789698 0.21813819]",[ 8 15 11  8  7  9 10 11 10]
8,6,8,Steve-O,1.3616778865306827,7.75,percentage,"[0.10765341 0.14231147 0.18682943 0.13248679 0.13627198 0.1204205
 0.02928697 0.14473945]",6,6,True,6,True,True,"[0.24743836 0.26059104 0.28360362 0.27227174 0.25992789 0.27095813
 0.11530847 0.28990074]",[10  9  8  8  9  7 16  4]
8,7,7,Lawrence Taylor,0.835710894037345,8.666666666666666,percentage,"[0.1591494  0.02786491 0.15840196 0.12816887 0.16636275 0.1459376
 0.21411451]",1,1,True,1,True,True,"[0.30750105 0.14324953 0.29027009 0.28201503 0.3147144  0.28879474
 0.37345516]",[ 6 14 10  8  5 10  2]
8,8,6,Chuck Wicks,0.5357583756107197,8.666666666666666,percentage,[0.16927995 0.22993354 0.17401251 0.02906127 0.17488875 0.22282397],3,3,True,3,True,True,[0.34556201 0.39660021 0.34067918 0.19252281 0.35437593 0.37025987],[ 7  4  7 11  4  8]
8,9,5,Lil' Kim,0.6798692684790381,8.9,percentage,[0.23455661 0.25616237 0.23947981 0.04091966 0.22888155],3,3,True,3,True,True,[0.44429444 0.42844702 0.44921763 0.23567622 0.44236469],[5 6 4 9 5]
8,10,4,Ty Murray,0.720484019407941,9.125,percentage,[0.28929086 0.07334461 0.29204719 0.34531734],1,1,True,1,True,True,[0.56326346 0.29252269 0.54775495 0.5964589 ],[4 8 4 4]
9,2,14,Kathy Ireland,0.9920317455237934,6.999999999999999,percentage,"[0.03954143 0.05905239 0.06017377 0.07987594 0.0802444  0.05904927
 0.0734203  0.16110114 0.00771569 0.05638906 0.06083268 0.08045486
 0.06267467 0.1194744 ]",8,8,True,8,True,True,"[0.11097    0.12367824 0.13160234 0.14450179 0.15167297 0.12367512
 0.14144751 0.22912835 0.06894018 0.11761355 0.15266941 0.1722916
 0.14770868 0.18410025]",[17 19 13 14  8 20 13  8 27 25  9  4 10 11]
9,3,13,Debi Mazar,1.23928676652252,6.615384615384615,percentage,"[0.00988312 0.07339441 0.07066319 0.08788807 0.07779231 0.1034987
 0.1011055  0.10953778 0.07413629 0.05892096 0.05295569 0.07281455
 0.10740945]",0,0,True,0,True,True,"[0.0757746  0.14703783 0.14043063 0.15377954 0.1785675  0.18101808
 0.15536906 0.19868506 0.13227582 0.14031631 0.15760685 0.1542099
 0.18492883]",[23 16 19 15  8  9 17  4 19 15 13 13  8]
9,4,11,Chuck Liddell,1.4564381625088383,7.333333333333334,percentage,"[0.06389573 0.07312897 0.01569037 0.08052965 0.12017027 0.11625571
 0.12766656 0.12038669 0.08718457 0.07663243 0.11845905]",2,2,True,2,True,True,"[0.17959821 0.16403807 0.0859383  0.1797032  0.18628597 0.18237141
 0.23510457 0.19476686 0.20288705 0.17580598 0.21350037]",[11 16 20 11 13 15  4 10  7 12 10]
9,5,10,Natalie Coughlin,0.7859884081701063,8.066666666666666,percentage,"[0.10529205 0.13758352 0.01339826 0.14185562 0.11974178 0.10347918
 0.10316531 0.09719431 0.08430772 0.09398226]",2,2,True,2,True,True,"[0.20033337 0.24502153 0.10430735 0.23276471 0.20651864 0.20265273
 0.20233886 0.20876456 0.20414243 0.19315582]",[11  5 18  9 13  9 10  9 10 12]
9,8,5,Aaron Carter,0.5637178175095922,8.733333333333334,percentage,[0.21327666 0.04094974 0.18995016 0.27262097 0.28320247],1,1,True,1,True,True,[0.41174995 0.23178943 0.415141   0.46346066 0.47785896],[5 9 5 6 4]
9,9,4,Joanna Krupa,0.527048034061728,8.888858333333333,percentage,[0.06186164 0.30920638 0.31995919 0.30897278],0,0,True,0,True,True,[0.31498751 0.58108138 0.55120936 0.55272174],[6 3 5 6]
10,2,11,Shannen Doherty,1.4213381090374029,6.666666666666666,percentage,"[0.07909444 0.00949893 0.11213131 0.13612898 0.10950147 0.0781997
 0.07478438 0.10044402 0.08073456 0.12077038 0.09871183]",1,1,True,1,True,True,"[0.16545808 0.10040803 0.20758586 0.19067443 0.18222874 0.18729061
 0.17478438 0.22771675 0.18528002 0.1889522  0.18962092]",[16 17  8 12 13 11 14  6 10 12 12]
10,3,10,Buzz Aldrin,1.2023125864580955,6.7666666666666675,percentage,"[0.09103898 0.10534534 0.02060918 0.11190087 0.15454006 0.09184777
 0.14042454 0.09492033 0.07923773 0.1101352 ]",2,2,True,2,True,True,"[0.18956115 0.20879362 0.08464859 0.21042304 0.28261887 0.19529605
 0.25372503 0.20822082 0.15312935 0.21358347]",[15  9 20 10  2 11  4  8 18  8]
10,4,9,Aiden Turner,1.151429004200727,6.87037037037037,percentage,"[0.01871015 0.10393595 0.12478543 0.13225036 0.12723775 0.14779607
 0.11152269 0.10285993 0.13090167]",0,0,True,0,True,True,"[0.10765894 0.20097099 0.24338382 0.27241209 0.25392238 0.28256696
 0.21664398 0.1891133  0.23332754]",[17 14  9  3  7  3 11 17  9]
10,5,8,Kate Gosselin,1.4713702985841313,7.208333333333334,percentage,"[0.14522039 0.16913366 0.11480485 0.13673779 0.10647637 0.18244538
 0.0281894  0.11699217]",6,6,True,6,True,True,"[0.24926663 0.2731799  0.27087421 0.25812507 0.27410643 0.30961301
 0.1148946  0.24994015]",[ 9  8  8  9  8  5 16  8]
10,6,7,Jake Pavelka,1.2777593415331712,9.952347619047618,percentage,"[0.16091486 0.13932695 0.2027688  0.16045901 0.17348616 0.13389003
 0.02915419]",6,6,True,6,True,True,"[0.28531623 0.28765233 0.33195583 0.3039992  0.34573506 0.29657
 0.14877134]",[ 9  8  6  8  3  8 14]
10,7,6,Pamela Anderson,0.2952818281315182,8.638888888888888,percentage,[0.17980107 0.21482774 0.21423346 0.02981521 0.18437908 0.17694344],3,0,False,3,True,False,[0.33735734 0.38203031 0.3878669  0.19380235 0.35801252 0.34093058],[10  4  3 10  4  9]
10,8,5,Niecy Nash,0.9752492558885197,8.433333333333334,percentage,[0.05260766 0.25558066 0.22272936 0.24629029 0.22279204],0,0,True,0,True,True,[0.22256813 0.43344627 0.43221552 0.47949187 0.43227821],[10  5  6  3  5]
10,9,4,Chad Ochocinco,0.4787135538781695,9.416666666666668,percentage,[0.06604561 0.30296423 0.3276008  0.30338935],0,0,True,0,True,True,[0.29613411 0.56402618 0.58866275 0.55117696],[8 4 2 5]
11,1,12,David Hasselhoff,1.0754700379225521,6.305555555555556,percentage,"[0.01321529 0.07974516 0.07505732 0.06257503 0.08500284 0.08692603
 0.1052211  0.09128156 0.10636634 0.12912764 0.08815533 0.07732634]",0,0,True,0,True,True,"[0.07929459 0.15904032 0.17637891 0.16830191 0.18191914 0.17062647
 0.1713004  0.16176614 0.20768793 0.19520694 0.17185577 0.1566215 ]",[22 15 12 12 11 11 13 13  4 11 10 16]
11,2,11,Michael Bolton,1.0488526242349563,6.696969696969696,percentage,"[0.06417727 0.09769225 0.13484686 0.10791928 0.0805537  0.13540596
 0.02256874 0.09000594 0.08082807 0.10136621 0.08463572]",6,6,True,6,True,True,"[0.15015012 0.19723976 0.24344414 0.2029419  0.17557633 0.21685392
 0.07686739 0.18502857 0.16227603 0.20543861 0.18418323]",[18  8  3  8 14 10 22 11 17  6 10]
11,3,10,Margaret Cho,0.8359957469322967,7.366666666666667,percentage,"[0.18001898 0.075433   0.08821812 0.11109736 0.09153466 0.01773976
 0.07897458 0.11790897 0.12195112 0.11712346]",5,5,True,5,True,True,"[0.27051672 0.1795054  0.1968154  0.21969465 0.19560706 0.09918773
 0.18757186 0.20840671 0.23959818 0.20309631]",[ 8 14  9  7 11 20 10 10  3 13]
11,4,9,The Situation,1.3895060357262274,6.62962962962963,percentage,"[0.14496285 0.14621493 0.10560863 0.15463705 0.11436343 0.12051843
 0.02327371 0.10036792 0.09005303]",6,6,True,6,True,True,"[0.24272822 0.25794678 0.26203321 0.2635756  0.2093355  0.25459664
 0.10148601 0.22885954 0.17943851]",[ 9  6  7  6 12  6 18 10 16]
11,5,8,Florence Henderson,0.9090593428863096,7.583333333333334,percentage,"[0.02167901 0.14782176 0.11456003 0.15620653 0.16205914 0.11616423
 0.10907059 0.17243872]",0,0,True,0,True,True,"[0.13706362 0.25771187 0.25192267 0.28807466 0.29392727 0.26451588
 0.23544422 0.27133982]",[14 11  8  6  5  6 12  9]
11,6,7,Audrina Patridge,1.3075730927658191,9.857109523809525,percentage,"[0.15133817 0.15313573 0.19333004 0.20163571 0.12557175 0.01911411
 0.15587448]",5,0,False,5,True,False,"[0.29626572 0.29323282 0.33825807 0.30791578 0.2994849  0.17370304
 0.29113968]",[9 9 5 8 7 9 9]
11,7,6,Rick Fox,0.3662165798176447,8.6875,percentage,[0.24079283 0.17420014 0.02792513 0.18459188 0.16848985 0.20400016],2,2,True,2,True,True,[0.4014643  0.34926009 0.19339276 0.35245759 0.3435498  0.35987546],[ 6  5 10  6  6  8]
11,8,5,Kurt Warner,0.7527726527090811,8.833333333333334,percentage,[0.26897115 0.22068118 0.04815935 0.20901848 0.25316984],2,2,True,2,True,True,[0.48029191 0.43577552 0.22929142 0.42411282 0.43052833],[4 4 9 5 7]
11,9,4,Brandy,0.4249182927993984,9.5,percentage,[0.30557483 0.29131568 0.06342664 0.33968285],2,2,True,2,True,True,[0.5599608  0.55447357 0.31342664 0.57213899],[4 4 7 5]
12,2,11,Mike Catherwood,0.7948410332487275,6.545454545454546,percentage,"[0.05607159 0.1323976  0.09443725 0.06712955 0.10106142 0.11752818
 0.12489026 0.01323595 0.07742712 0.12022875 0.09559235]",7,7,True,7,True,True,"[0.15329381 0.21573093 0.18702984 0.17361103 0.17976512 0.22400966
 0.20822359 0.09193966 0.1839086  0.19893245 0.18355531]",[14  8 12 10 14  5  9 20  9 12 12]
12,3,10,Wendy Williams,0.9213516640723503,7.133333333333335,percentage,"[0.08345498 0.10039819 0.11696474 0.1244184  0.09117282 0.15196933
 0.1389697  0.09230769 0.02269274 0.0776514 ]",8,8,True,8,True,True,"[0.18158583 0.20787482 0.21509558 0.24124083 0.18463077 0.25010017
 0.25579213 0.18576564 0.0927862  0.18512803]",[13  8  9  4 15  6  3 14 20 12]
12,4,9,Sugar Ray Leonard,0.7608384660805236,7.62962962962963,percentage,"[0.10604872 0.10707656 0.11342906 0.11083105 0.01541606 0.10546388
 0.1493465  0.1698909  0.12249726]",4,4,True,4,True,True,"[0.22740795 0.23329015 0.22022518 0.23219028 0.11735781 0.21711436
 0.26099699 0.28154138 0.2098759 ]",[ 9  7 11  7 17 12  6  5 12]
12,5,8,Petra Nemcova,0.6821127309893708,8.083333333333334,percentage,"[0.14912458 0.11794114 0.14465135 0.17015638 0.11969998 0.01890936
 0.15017349 0.12934372]",5,5,True,5,True,True,"[0.26252665 0.25196176 0.26320805 0.30933163 0.25372059 0.13231142
 0.28419411 0.24274578]",[ 9  9  9  2  8 14  4 11]
12,6,7,Chris Jericho,0.6834619092574918,8.571428571428573,percentage,"[0.1767462  0.11009177 0.12594715 0.2038588  0.02694179 0.22281224
 0.13360205]",4,4,True,4,True,True,"[0.31007953 0.26564732 0.27039159 0.3538588  0.14916402 0.3783678
 0.27249094]",[ 9  7  9  5 14  2  9]
